create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-06-24 15:30:00,HYPEUSDT,5730323.8000000000000000,346232590.1530190000000000,1.22787522,1.58189500,1.28165129,1.04964000
2026-06-24 15:35:00,HYPEUSDT,5737244.1200000000000000,345613024.6322529000000000,1.23196567,1.57742400,1.28401409,0.62014400
2026-06-24 15:40:00,HYPEUSDT,5723244.6700000000000000,343486252.1147200000000000,1.22190746,1.57362200,1.26198909,0.51241100
2026-06-24 15:45:00,HYPEUSDT,5717222.0400000000000000,343812225.8680077000000000,1.21863606,1.56883700,1.25729875,0.87805600
2026-06-24 15:50:00,HYPEUSDT,5711420.7600000000000000,342862299.6435600000000000,1.22455617,1.56849300,1.26122410,0.71292300
2026-06-24 15:55:00,HYPEUSDT,5709672.0200000000000000,342337959.2117704000000000,1.22529859,1.56143500,1.25949428,0.97937900
2026-06-24 16:00:00,HYPEUSDT,5710983.6900000000000000,343704641.9201020600000000,1.21732092,1.55832300,1.25452283,1.01797500
2026-06-24 16:05:00,HYPEUSDT,5704887.3700000000000000,344238804.2996601500000000,1.21767881,1.55693400,1.25229533,1.10206800
2026-06-24 16:10:00,HYPEUSDT,5702845.3600000000000000,343541834.9820639500000000,1.22453954,1.55488000,1.26498605,1.73114200
2026-06-24 16:15:00,HYPEUSDT,5701995.1200000000000000,343801795.7604000000000000,1.21736785,1.56234800,1.25947242,0.97735700
2026-06-24 16:20:00,HYPEUSDT,5702590.3300000000000000,344673995.9635744700000000,1.21705636,1.56429000,1.25493957,1.15277200
2026-06-24 16:25:00,HYPEUSDT,5705990.2900000000000000,343254380.5224630000000000,1.22508475,1.56909400,1.26662170,0.60240300
2026-06-24 16:30:00,HYPEUSDT,5714237.0100000000000000,342437672.4360887000000000,1.22463081,1.57553900,1.26442863,0.47246700
2026-06-24 16:35:00,HYPEUSDT,5710990.7200000000000000,341423778.6963270000000000,1.22291610,1.57954600,1.25326421,0.75666400
2026-06-24 16:40:00,HYPEUSDT,5730865.5200000000000000,340579935.1947483400000000,1.22240392,1.56814800,1.25279815,0.40852800
2026-06-24 16:45:00,HYPEUSDT,5762629.9500000000000000,341689734.4265367400000000,1.21508304,1.55950100,1.24165785,1.20762200
2026-06-24 16:50:00,HYPEUSDT,5764567.2100000000000000,343261912.1818403000000000,1.19798749,1.55808600,1.22480993,1.04216500
2026-06-24 16:55:00,HYPEUSDT,5753647.5300000000000000,343222336.1070900000000000,1.19951007,1.55827700,1.22111229,1.40543900
2026-06-24 17:00:00,HYPEUSDT,5750352.1500000000000000,344214664.7673499600000000,1.21150430,1.56040400,1.23761707,1.11796100
2026-06-24 17:05:00,HYPEUSDT,5748968.8300000000000000,343686825.6865130700000000,1.20471261,1.56117000,1.23210162,1.03902000
2026-06-24 17:10:00,HYPEUSDT,5753179.6600000000000000,343447455.6444387400000000,1.21483306,1.56128300,1.24148248,0.57579300
2026-06-24 17:15:00,HYPEUSDT,5759361.0500000000000000,342244271.0352000000000000,1.20626703,1.56548400,1.22679820,1.06279600
